Vendor Name:Klabs	 GST:VGSTBE123A	 Product:pACost:1250.32	1125.2879999999998	7376.887999999999	PO date/time:Fri Sep 18 14:21:03 2026
Vendor Name:CTPL	 GST:VGSTBFA32A	 Product:pBCost:450.32	1215.864	7970.664000000001	PO date/time:Fri Sep 18 14:21:03 2026
Vendor Name:Klabs	 GST:VGSTBE123A	 Product:pACost:1250.32	1125.2879999999998	7376.887999999999	PO date/time:Fri Sep 18 14:21:40 2026
Vendor Name:CTPL	 GST:VGSTBFA32A	 Product:pBCost:450.32	1215.864	7970.664000000001	PO date/time:Fri Sep 18 14:21:45 2026
Vendor Name:	 GST:	 Product:pCCost:1000	2160.0	14160.0	PO date/time:Fri Sep 18 14:29:35 2026
Vendor Name:Klabs	 GST:VGSTBE123A	 Product:pACost:1250.32	1125.2879999999998	7376.887999999999	PO date/time:Fri Sep 18 14:38:44 2026
Vendor Name:CTPL	 GST:VGSTBFA32A	 Product:pBCost:450.32	1215.864	7970.664000000001	PO date/time:Fri Sep 18 14:38:49 2026
Vendor Name:Klabs	 GST:VGSTBE123A	 Product:pACost:1250.32	1125.2879999999998	7376.887999999999	PO date/time:Fri Sep 18 14:41:05 2026
Vendor Name:CTPL	 GST:VGSTBFA32A	 Product:pBCost:450.32	1215.864	7970.664000000001	PO date/time:Fri Sep 18 14:41:10 2026
Vendor Name:CosTools	 GST:VGST334SD2	 Product:pDCost:9393.31	5072.3874	33252.3174	PO date/time:Fri Sep 18 14:41:10 2026
Vendor Name:Klabs	 GST:VGSTBE123A	 Product:pACost:1250.32	1125.2879999999998	7376.887999999999	PO date/time:Fri Sep 18 14:41:35 2026
Vendor Name:CTPL	 GST:VGSTBFA32A	 Product:pBCost:450.32	1215.864	7970.664000000001	PO date/time:Fri Sep 18 14:41:40 2026
Vendor Name:CosTools	 GST:VGST334SD2	 Product:pDCost:9393.31	5072.3874	33252.3174	PO date/time:Fri Sep 18 14:41:40 2026
Vendor Name:CosTools	 GST:VGST334SD2	 Product:pACost:450.32	162.1152	1062.7552	PO date/time:Fri Sep 18 14:41:40 2026
